description,price,image,market,quantity,unit
Smart TV NEO  QN,"$ 2.529.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387819-170-170?v=638319506765270000&width=170&height=170&aspect=true,Carrefour,,
"Smart tv miniled android 55"" TCL  l","$ 999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/419829-170-170?v=638361974297070000&width=170&height=170&aspect=true,Carrefour,,
Smart TV Samsung  UHD Crystal Processor  CU,"$ 566.999,10",https://carrefourar.vtexassets.com/arquivos/ids/427616-170-170?v=638387842442800000&width=170&height=170&aspect=true,Carrefour,,
Smart Tv Samsung  Neo Qled QN  QN,"$ 1.199.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387921-170-170?v=638319509326070000&width=170&height=170&aspect=true,Carrefour,,
Smart TV The Frame,"$ 1.699.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387842-170-170?v=638319507386930000&width=170&height=170&aspect=true,Carrefour,,
Smart TV Samsung Neo QLED Quantum Matrix   QN,"$ 1.999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427636-170-170?v=638387842905830000&width=170&height=170&aspect=true,Carrefour,,
Smart TV Samsung  UHD Crystal Processor  CU,"$ 734.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427633-170-170?v=638387842682870000&width=170&height=170&aspect=true,Carrefour,,
"Smart TV UHD  65"" SHARP GOOGLE TV S","$ 999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/426955-170-170?v=638386819324570000&width=170&height=170&aspect=true,Carrefour,6.0,g
"Smart TV UHD  50"" SHARP GOOGLE TV S","$ 567.999,00",https://carrefourar.vtexassets.com/arquivos/ids/426945-170-170?v=638386818529800000&width=170&height=170&aspect=true,Carrefour,6.0,g
Smart tv   qled qn frame,"$ 2.199.999,00",https://carrefourar.vtexassets.com/arquivos/ids/346011-170-170?v=638233844890130000&width=170&height=170&aspect=true,Carrefour,,
Aceto balsámico Oliovita reducción .,"$ 3.770,00",https://carrefourar.vtexassets.com/arquivos/ids/359543-170-170?v=638258156972800000&width=170&height=170&aspect=true,Carrefour,250.0,cc
Vinagre Favinco saborizado finas hierbas .,"$ 999,00",https://carrefourar.vtexassets.com/arquivos/ids/265764-170-170?v=638048949114800000&width=170&height=170&aspect=true,Carrefour,1.0,l
Aceite de coco sabor ajo Chiagraal en frasco .,"$ 6.065,00",https://carrefourar.vtexassets.com/arquivos/ids/410405-170-170?v=638345481513270000&width=170&height=170&aspect=true,Carrefour,180.0,ml
Aceto balsámico Fini .,"$ 5.780,00",https://carrefourar.vtexassets.com/arquivos/ids/208586-170-170?v=637636109789500000&width=170&height=170&aspect=true,Carrefour,250.0,cc
Aceite de dende Cepera botella .,"$ 8.775,00",https://carrefourar.vtexassets.com/arquivos/ids/208584-170-170?v=637636109771030000&width=170&height=170&aspect=true,Carrefour,200.0,cc
